epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1196.11,0.50206,0.41481,0.8788,0.97879,0.86295,0.92765,0.83991,0.48634,0.4408,0.87424,0.000590041,0.000590041,0.000590041
43,1225.42,0.50453,0.40666,0.87167,0.97468,0.87699,0.92582,0.83258,0.49568,0.44082,0.88111,0.000580042,0.000580042,0.000580042
44,1254.93,0.50246,0.4051,0.87723,0.96737,0.82901,0.91304,0.81063,0.50205,0.52807,0.89034,0.000570043,0.000570043,0.000570043
45,1283.65,0.49137,0.41222,0.87462,0.96006,0.8854,0.93024,0.82382,0.524,0.47653,0.90606,0.000560044,0.000560044,0.000560044
46,1312.53,0.50452,0.40066,0.88165,1,0.86326,0.92497,0.82886,0.50141,0.46568,0.89749,0.000550045,0.000550045,0.000550045
47,1341.81,0.49409,0.39241,0.87933,0.9698,0.88212,0.92885,0.84429,0.48891,0.44859,0.8932,0.000540046,0.000540046,0.000540046
48,1370.83,0.46902,0.38849,0.8618,0.95632,0.88136,0.92859,0.84182,0.50307,0.45838,0.89486,0.000530047,0.000530047,0.000530047
49,1400.13,0.48699,0.39146,0.86336,0.98876,0.84629,0.91809,0.82192,0.49528,0.45666,0.8848,0.000520048,0.000520048,0.000520048
50,1456.29,0.4531,0.36317,0.8593,0.93665,0.89191,0.92444,0.83599,0.49377,0.46451,0.89018,0.000510049,0.000510049,0.000510049
51,1485.24,0.46171,0.38312,0.86489,0.96692,0.89045,0.92877,0.83917,0.50603,0.46076,0.89705,0.00050005,0.00050005,0.00050005
52,1526.44,0.46066,0.37026,0.8569,0.98602,0.87419,0.92802,0.83437,0.49671,0.44598,0.89046,0.000490051,0.000490051,0.000490051
53,1555.49,0.45633,0.36489,0.85865,0.96916,0.90324,0.92954,0.83216,0.47287,0.44574,0.88309,0.000480052,0.000480052,0.000480052
54,1610.57,0.44228,0.35678,0.85781,0.98629,0.88769,0.93011,0.8418,0.46198,0.4222,0.8728,0.000470053,0.000470053,0.000470053
55,1640.7,0.45027,0.36069,0.85279,0.97902,0.8841,0.92934,0.83847,0.46203,0.42992,0.87729,0.000460054,0.000460054,0.000460054
56,1668.53,0.43811,0.34657,0.85477,0.97278,0.89284,0.92883,0.84368,0.46133,0.41031,0.87308,0.000450055,0.000450055,0.000450055
57,1697.3,0.43841,0.35291,0.8477,0.96396,0.90858,0.93055,0.85058,0.44415,0.40272,0.86313,0.000440056,0.000440056,0.000440056
58,1733.61,0.42551,0.33766,0.84784,0.9928,0.89856,0.93715,0.84595,0.48002,0.40783,0.89101,0.000430057,0.000430057,0.000430057
59,1764.17,0.42756,0.33829,0.84237,0.97369,0.89668,0.92737,0.84163,0.46429,0.40625,0.87973,0.000420058,0.000420058,0.000420058
60,1805.17,0.42416,0.33858,0.843,0.97105,0.91209,0.93647,0.84597,0.46128,0.41501,0.86997,0.000410059,0.000410059,0.000410059
61,1832.38,0.43639,0.33855,0.84589,0.98574,0.89454,0.93139,0.84754,0.44878,0.41116,0.85961,0.00040006,0.00040006,0.00040006
62,1863.98,0.40955,0.34096,0.8455,0.97779,0.89191,0.9292,0.84452,0.42848,0.37767,0.86269,0.000390061,0.000390061,0.000390061
63,1891.26,0.40705,0.31971,0.84777,0.98508,0.89375,0.93386,0.84904,0.4301,0.36348,0.86829,0.000380062,0.000380062,0.000380062
64,1918.51,0.39867,0.31959,0.84555,0.96807,0.89383,0.93471,0.85477,0.41446,0.35259,0.85932,0.000370063,0.000370063,0.000370063
65,1945.85,0.39667,0.31988,0.84008,0.97956,0.90372,0.93792,0.8552,0.42163,0.36836,0.85496,0.000360064,0.000360064,0.000360064
66,1974.05,0.38399,0.30971,0.83389,0.96288,0.90833,0.93117,0.85938,0.40507,0.38314,0.84805,0.000350065,0.000350065,0.000350065
67,2001.44,0.39501,0.30669,0.84124,0.98276,0.90094,0.93418,0.85827,0.42209,0.36916,0.85794,0.000340066,0.000340066,0.000340066
68,2028.83,0.3844,0.2987,0.83383,0.96411,0.91291,0.92623,0.859,0.43368,0.38369,0.85825,0.000330067,0.000330067,0.000330067
69,2056.2,0.38271,0.30064,0.82872,0.97507,0.89555,0.92987,0.86297,0.41589,0.39145,0.85838,0.000320068,0.000320068,0.000320068
70,2087.8,0.36799,0.29638,0.83096,0.98306,0.8948,0.93531,0.86269,0.42487,0.37337,0.86163,0.000310069,0.000310069,0.000310069
71,2115.06,0.37562,0.29765,0.82446,0.97551,0.91709,0.93543,0.86605,0.4153,0.35439,0.85912,0.00030007,0.00030007,0.00030007
72,2142.38,0.3837,0.3007,0.82362,0.96749,0.89902,0.93033,0.85073,0.42408,0.36726,0.86107,0.000290071,0.000290071,0.000290071
73,2169.78,0.36497,0.28656,0.81084,0.9789,0.90086,0.93586,0.85751,0.41985,0.36376,0.86122,0.000280072,0.000280072,0.000280072
74,2197.09,0.36296,0.28563,0.82667,0.96125,0.90256,0.93087,0.85411,0.43425,0.38959,0.87559,0.000270073,0.000270073,0.000270073
75,2224.33,0.35882,0.27564,0.82586,0.97783,0.90399,0.94106,0.86541,0.41333,0.36692,0.86402,0.000260074,0.000260074,0.000260074
76,2251.62,0.35134,0.27769,0.82312,0.97104,0.91799,0.93416,0.86516,0.41505,0.34745,0.85762,0.000250075,0.000250075,0.000250075
77,2279.02,0.35294,0.27862,0.82451,0.98387,0.90165,0.93781,0.87171,0.40155,0.34264,0.85844,0.000240076,0.000240076,0.000240076
78,2306.39,0.33991,0.27366,0.81716,0.9916,0.9019,0.93461,0.8691,0.40119,0.35799,0.85433,0.000230077,0.000230077,0.000230077
79,2333.87,0.34145,0.27824,0.82168,0.96497,0.91509,0.94169,0.87483,0.40006,0.33758,0.85581,0.000220078,0.000220078,0.000220078
80,2361.27,0.33461,0.26063,0.8122,0.98887,0.90011,0.94682,0.88235,0.39082,0.34166,0.85025,0.000210079,0.000210079,0.000210079
81,2388.64,0.33667,0.2674,0.82149,0.9757,0.9152,0.94007,0.88666,0.36584,0.35097,0.84025,0.00020008,0.00020008,0.00020008
82,2415.9,0.32926,0.25891,0.80723,0.9809,0.90575,0.94666,0.87895,0.38509,0.34911,0.85077,0.000190081,0.000190081,0.000190081
83,2443.06,0.32439,0.25783,0.81818,0.97845,0.91589,0.94012,0.88309,0.38084,0.3357,0.84289,0.000180082,0.000180082,0.000180082
84,2470.36,0.32779,0.26178,0.81612,0.97657,0.91872,0.9398,0.87716,0.3716,0.33714,0.84288,0.000170083,0.000170083,0.000170083
85,2497.71,0.30446,0.24105,0.81051,0.98337,0.90643,0.94327,0.8854,0.36113,0.32206,0.83275,0.000160084,0.000160084,0.000160084
86,2524.84,0.32533,0.24333,0.82673,0.97046,0.91215,0.94389,0.88816,0.36262,0.32098,0.83217,0.000150085,0.000150085,0.000150085
87,2552,0.31217,0.24554,0.8167,0.98414,0.90687,0.94299,0.88845,0.36798,0.31233,0.84109,0.000140086,0.000140086,0.000140086
88,2579.17,0.30677,0.24353,0.8042,0.97219,0.90692,0.94152,0.88918,0.36577,0.32054,0.84006,0.000130087,0.000130087,0.000130087
89,2606.6,0.2985,0.22892,0.80712,0.97967,0.90879,0.94157,0.88426,0.3739,0.33281,0.83999,0.000120088,0.000120088,0.000120088
